Internship_Name, Company, Location, Start_Date, Duration, Stipend, Posted_On, Last_Date
Information Technology,CaratLane Trading Private Limited,Chennai,Immediately,6 Months,15000 /Month,7 Jun'18,21 Jun'18
Project Development  (Real-time Rule Based Parser),Thapar University| Patiala,Patiala,Immediately,2 Months,5000 /Month,7 Jun'18,20 Jun'18
Project Management,IIT Bombay,Mumbai,Immediately,6 Months,1000-5000 /Month,5 Jun'18,19 Jun'18
Backend Web Development,IIT Bombay,Mumbai,Immediately,6 Months,3000-8000 /Month,5 Jun'18,19 Jun'18
Software Development,Pratham Education Foundation,Mumbai,Immediately,6 Months,Unpaid,5 Jun'18,18 Jun'18
Machine Learning (Automatic Real-Time Fake News Detector),Thapar University| Patiala,Patiala,Immediately,2 Months,2000-5000 /Month,30 May'18,9 Jun'18
Mobile App Development,NCFlexe| IIT Kanpur,Kanpur,Immediately,2 Months,10000-20000 /Month,29 May'18,10 Jun'18
Data Analytics,GoAir,Mumbai,Immediately,2 Months,4000 Lump-Sum,28 May'18,11 Jun'18
Mobile App Development,NCFlexe| IIT Kanpur,Kanpur,Immediately,2 Months,10000-20000 /Month,26 May'18,9 Jun'18
Android App Development,IIT Bombay,Thane,Immediately,6 Months,5000-10000 /Month,20 May'18,22 Jun'18
Image Editing,Gracenote - A Nielsen Company,Mumbai,Immediately,6 Months,18000 /Month,16 May'18,20 Jun'18
Virtual Prototype Development,Intel,Bangalore,Not Provided,Not Provided,Not provided,4 Dec'17,Not Provided
Intern With CEO On Text Mining,Drive Analytics,Chennai,Immediately,6 Months,15000-25000 /Month,11 Jun'18,15 Jun'18
Intern With CEO On Artificial Intelligence & Computer Vision,Drive Analytics,Chennai,Immediately,6 Months,15000-25000 /Month,11 Jun'18,15 Jun'18
Mobile App Development,Mono Graphics,Work From Home,Immediately,3 Months,5000-10000 /Month,9 Jun'18,23 Jun'18
Web Development,Produx Designs And Technologies,Chennai,Immediately,3 Months,4000 /Month,9 Jun'18,23 Jun'18
Backend Development,Fireant Networks Private Limited,Gurgaon,Immediately,6 Months,12000 Lump-Sum,9 Jun'18,22 Jun'18
Web Development,Vivasa Information Systems Private Limited,Bangalore,Immediately,6 Months,4000 /Month,9 Jun'18,22 Jun'18
iOS Development,SelfStudy,Gurgaon,Immediately,6 Months,10000-15000 /Month,9 Jun'18,22 Jun'18
Web Development,Budget Shipper,Work From Home,Immediately,3 Months,8000 /Month,9 Jun'18,22 Jun'18
Web Development,Binate Bits,Noida,Immediately,6 Months,5000 /Month,9 Jun'18,22 Jun'18
Software Development,Integus Systems Private Limited,Noida,Immediately,2 Months,5000 Lump-Sum,9 Jun'18,22 Jun'18
Software Development,Pletra Technologies India Private Limited,Pune,Immediately,6 Months,3000 /Month,9 Jun'18,23 Jun'18
Satellite Imagery,Vasundharaa Geo Technologies Private Limited,Pune,Immediately,2 Months,Unpaid,9 Jun'18,17 Jun'18
Mobile App Development,Platify Technologies Private Limited,Bangalore,Immediately,6 Months,15000 /Month,9 Jun'18,22 Jun'18
Web Development,Ingenious Folks Digital Advertising Agency,Mumbai,Immediately,2 Months,3500 /Month,9 Jun'18,23 Jun'18
Mobile App Development,GAM Sys Tech Private Limited,Navi Mumbai,Immediately,6 Months,2000-5000 /Month,9 Jun'18,22 Jun'18
Web Development,BuyersGoHappy.com,Work From Home,Immediately,2 Months,8000 Lump-Sum,9 Jun'18,23 Jun'18
Mobile App Development,Neev,Lucknow,Immediately,3 Months,5000 /Month,9 Jun'18,30 Jun'18
Mobile App Development,Quasix Solutions Private Limited,Mumbai,Immediately,3 Months,15000-20000 /Month,9 Jun'18,23 Jun'18
ERP Implementation,MobileERP Softech Private Limited,Vadodara,Immediately,6 Months,2000 /Month,9 Jun'18,23 Jun'18
Machine Learning & Computer Vision (Technical Support),MintM Incorporated,Work From Home,Immediately,2 Months,2500 /Month,9 Jun'18,22 Jun'18
Web Development,Dreams International Private Limited,Pune,Immediately,6 Months,3000 /Month,9 Jun'18,23 Jun'18
